"","Date","IBM - RF","Mkt - RF","SMB","HML","RMW","CMA"
"1","2000/01","-3.64","-4.74","4.15","-0.29","-6.05","4.73"
"2","2000/02","-8.89","2.45","18.32","-9.93","-18.33","-0.51"
"3","2000/03","14.74","5.2","-14.91","7.38","11.68","-1.05"
"4","2000/04","-6.27","-6.4","-5.55","8.61","7.55","5.27"
"5","2000/05","-4.26","-4.42","-3.68","2.56","4.63","0.74"
"6","2000/06","1.7","4.64","10.39","-9.86","-6.83","-3.07"
"7","2000/07","1.97","-2.51","-0.95","8.06","6","2.99"
"8","2000/08","17.11","7.03","-1.1","-0.66","-3.07","0.61"
"9","2000/09","-15.2","-5.45","0.23","6.13","3.08","6.43"
"10","2000/10","-13.1","-2.76","-2.83","5.64","9.66","4.68"
"11","2000/11","-5.59","-10.72","-0.46","11.26","13.33","8.51"
"12","2000/12","-9.59","1.19","3.17","7.37","1.85","5.67"
"13","2001/01","31.22","3.13","5.8","-4.86","-4.44","-6.55"
"14","2001/02","-11.18","-10.05","2.66","12.87","9","9.56"
"15","2001/03","-4.14","-7.26","2.32","6.46","3.4","3.93"
"16","2001/04","19.32","7.94","-0.63","-4.72","-2.72","-3.95"
"17","2001/05","-3.22","0.72","3.58","3.18","0.18","2.18"
"18","2001/06","1.24","-1.94","6.61","-1.03","2.03","-1.8"
"19","2001/07","-7.6","-2.13","-2.91","5.57","7.16","3.01"
"20","2001/08","-5.31","-6.46","2.73","2.51","3.95","6.5"
"21","2001/09","-8.51","-9.25","-5.69","1.6","4.96","3.27"
"22","2001/10","17.61","2.46","5.42","-8.1","-2.66","-4.64"
"23","2001/11","6.79","7.54","-0.3","2.01","-3.76","-1.66"
"24","2001/12","4.5","1.61","5.14","1.1","0.3","-0.29"
"25","2002/01","-10.95","-1.44","1.19","3.33","4.35","2.84"
"26","2002/02","-9.19","-2.29","-0.46","2.5","7.62","5.12"
"27","2002/03","5.86","4.24","4.28","1.1","-1.36","0.61"
"28","2002/04","-19.61","-5.2","6.66","3.92","4.57","5.41"
"29","2002/05","-4.09","-1.38","-3.07","1.68","2.27","2.42"
"30","2002/06","-10.63","-7.21","3.78","0.12","3.62","2.51"
"31","2002/07","-2.37","-8.18","-6.24","-3.44","4.19","-0.72"
"32","2002/08","6.93","0.5","-1.27","2.52","1.15","-1.61"
"33","2002/09","-22.79","-10.35","3.07","1.32","3.24","-2.28"
"34","2002/10","35.24","7.84","-4.12","-5.45","-3.28","0.92"
"35","2002/11","9.99","5.96","2.9","-1.12","-9.13","5.12"
"36","2002/12","-10.95","-5.76","0.5","2.23","6.04","-1.59"
"37","2003/01","0.8","-2.57","0.81","-0.93","-0.63","0.81"
"38","2003/02","-0.41","-1.88","-0.89","-1.45","1.04","-0.55"
"39","2003/03","0.52","1.09","0.55","-2.08","1.8","-0.69"
"40","2003/04","8.15","8.22","1.06","1.03","-4.57","1.14"
"41","2003/05","3.61","6.05","4.83","-0.29","-6.92","3.22"
"42","2003/06","-6.39","1.42","1.68","0.68","0.55","-0.33"
"43","2003/07","-1.59","2.35","4.73","-1.13","-4.17","1.87"
"44","2003/08","0.87","2.34","2.54","2.03","-2.46","2.2"
"45","2003/09","7.63","-1.24","0.52","0.01","1.34","0.31"
"46","2003/10","1.23","6.08","2.64","1.77","-1.59","1.55"
"47","2003/11","1.11","1.35","2.21","1.85","0.08","1.67"
"48","2003/12","2.28","4.29","-2.69","2.41","0","0.97"
"49","2004/01","7","2.15","2.54","1.97","-3.53","3.4"
"50","2004/02","-2.81","1.4","-0.91","0.5","2.28","-1.34"
"51","2004/03","-4.92","-1.32","2.11","0.22","1.5","-1.04"
"52","2004/04","-4.08","-1.83","-2.19","-2.62","3.31","-2.8"
"53","2004/05","0.42","1.17","-0.4","-0.39","-0.97","-0.08"
"54","2004/06","-0.58","1.86","2.57","1.39","1.12","-0.41"
"55","2004/07","-1.33","-4.06","-3.02","4.12","5.08","-1.62"
"56","2004/08","-2.84","0.08","-1.27","1.02","1.3","-1.43"
"57","2004/09","1.13","1.6","3.29","-0.25","-1.34","-1.89"
"58","2004/10","4.57","1.43","0.29","-0.62","-0.07","0.4"
"59","2004/11","4.85","4.54","4.13","1.8","-1.06","-0.22"
"60","2004/12","4.45","3.43","0.01","-0.07","-1.26","0.51"
"61","2005/01","-5.39","-2.76","-1.11","1.96","3.05","-1.37"
"62","2005/02","-1.06","1.89","-0.3","1.64","1.2","-0.06"
"63","2005/03","-1.51","-1.97","-1.4","1.59","0.47","1.11"
"64","2005/04","-16.62","-2.61","-4.02","-0.35","0.96","-0.9"
"65","2005/05","-1.33","3.65","2.72","-0.81","-1.31","0.28"
"66","2005/06","-2.02","0.57","3.26","2.63","0.98","-0.53"
"67","2005/07","12.24","3.92","2.83","-0.51","-1.19","-0.98"
"68","2005/08","-3.7","-1.22","-0.86","1.27","-2.23","0.45"
"69","2005/09","-0.79","0.49","-0.31","0.76","0.49","-0.56"
"70","2005/10","1.8","-2.02","-1.41","0.23","-0.58","-1.26"
"71","2005/11","8.26","3.61","0.8","-1.19","-0.6","-1.19"
"72","2005/12","-7.86","-0.25","-0.27","0.44","0.12","0.24"
"73","2006/01","-1.44","3.04","5.77","1.12","-0.94","-0.54"
"74","2006/02","-1.64","-0.3","-0.45","-0.25","-0.7","2"
"75","2006/03","2.41","1.46","3.45","0.6","-0.04","-0.5"
"76","2006/04","-0.52","0.73","-0.83","2.6","1.15","-0.25"
"77","2006/05","-3.39","-3.57","-2.99","2.55","0.96","1.34"
"78","2006/06","-4.25","-0.35","-0.23","0.88","1.38","-0.11"
"79","2006/07","0.37","-0.78","-3.69","2.94","1.54","0.93"
"80","2006/08","4.18","2.03","0.44","-1.71","-1.74","2.15"
"81","2006/09","0.79","1.84","-1.43","0.05","0.88","0.53"
"82","2006/10","12.27","3.23","1.93","-0.04","-0.22","0.26"
"83","2006/11","-0.86","1.71","0.81","0.07","0.09","-0.88"
"84","2006/12","5.29","0.87","-0.8","3.15","-0.8","2.05"
"85","2007/01","1.62","1.4","0.08","-0.11","0.22","0.24"
"86","2007/02","-6.64","-1.96","1.4","-0.09","-0.47","-0.74"
"87","2007/03","0.99","0.68","0.07","-0.22","0.25","-0.59"
"88","2007/04","7.99","3.49","-2.02","-1.15","1.02","1.01"
"89","2007/05","3.89","3.24","0.28","-0.04","1.13","-1.29"
"90","2007/06","-1.67","-1.96","0.76","-1.12","0.53","0.07"
"91","2007/07","4.73","-3.73","-2.87","-3.33","0.57","-1.04"
"92","2007/08","5.04","0.92","-0.34","-2.24","-0.91","-0.56"
"93","2007/09","0.63","3.22","-2.41","-1.86","-0.58","-3.17"
"94","2007/10","-1.75","1.8","0.03","-2.6","-0.31","-0.1"
"95","2007/11","-9.76","-4.83","-2.81","-1.18","1.88","-0.34"
"96","2007/12","2.51","-0.87","0.18","-0.51","0.7","-1.09"
"97","2008/01","-1.13","-6.36","-0.52","3.65","1.98","2.2"
"98","2008/02","6.17","-3.09","-0.53","-0.94","0.76","-1.06"
"99","2008/03","0.95","-0.93","0.75","-0.14","1.09","0.47"
"100","2008/04","4.65","4.6","-1.15","-0.95","1.28","-2.54"
"101","2008/05","7.05","1.86","3.22","-1.38","0.81","0.04"
"102","2008/06","-8.59","-8.44","1.15","-2.42","4.3","-0.42"
"103","2008/07","7.82","-0.77","3.66","5.88","-0.98","1.06"
"104","2008/08","-5.01","1.53","3.42","1.52","1.85","0.81"
"105","2008/09","-4.07","-9.24","0.35","6.33","2.95","1.77"
"106","2008/10","-20.59","-17.23","-3.2","-2.89","3.6","1.91"
"107","2008/11","-12.26","-7.86","-3.88","-6.02","4.83","2.72"
"108","2008/12","3.14","1.74","3.37","-0.25","-0.08","-1.4"
"109","2009/01","8.9","-8.12","-2.01","-11.18","0.23","-1.15"
"110","2009/02","0.4","-10.1","-1.17","-7.27","1.71","-1.12"
"111","2009/03","5.26","8.95","0.67","3.56","-2.33","-2.22"
"112","2009/04","6.51","10.19","6.71","5.53","0.28","0.14"
"113","2009/05","2.97","5.21","-2.33","-0.23","-0.98","-2.16"
"114","2009/06","-1.76","0.43","2.32","-2.72","-1.06","-0.17"
"115","2009/07","12.93","7.72","2.44","5.28","-0.66","3.2"
"116","2009/08","0.09","3.33","-0.05","7.75","-3.02","3.18"
"117","2009/09","1.31","4.08","2.74","0.93","1.36","0.38"
"118","2009/10","0.84","-2.59","-4.78","-4.18","4.18","-1.66"
"119","2009/11","4.76","5.56","-2.8","-0.17","0.81","0.13"
"120","2009/12","3.59","2.75","6.22","0","0.48","-0.07"
"121","2010/01","-6.5","-3.36","0.29","0.3","-1.39","0.46"
"122","2010/02","3.9","3.4","1.46","3.16","-0.33","1.4"
"123","2010/03","0.85","6.31","1.79","2.11","-0.56","1.7"
"124","2010/04","0.57","2","5.04","2.81","1.1","1.69"
"125","2010/05","-2.91","-7.89","0.06","-2.38","1.37","-0.22"
"126","2010/06","-1.43","-5.56","-2.49","-4.5","-0.21","-1.51"
"127","2010/07","3.97","6.93","0.09","-0.26","0.24","2.02"
"128","2010/08","-4.11","-4.77","-3.1","-1.95","0.72","-1.69"
"129","2010/09","8.93","9.54","3.72","-3.13","-0.21","0.47"
"130","2010/10","7.04","3.88","0.78","-2.6","1.3","-0.23"
"131","2010/11","-1.5","0.6","3.6","-0.9","0.24","1.64"
"132","2010/12","3.74","6.82","0.95","3.82","-3.65","3.22"
"133","2011/01","10.37","1.99","-2.42","0.82","-0.89","0.69"
"134","2011/02","-0.08","3.49","1.64","1.1","-1.93","0.95"
"135","2011/03","0.73","0.45","2.67","-1.58","1.64","-0.03"
"136","2011/04","4.61","2.9","-0.51","-2.52","1.09","-0.84"
"137","2011/05","-0.97","-1.27","-0.69","-2.08","2.02","-1.5"
"138","2011/06","1.55","-1.75","0.11","-0.32","2.38","-1.45"
"139","2011/07","6","-2.36","-1.34","-1.21","2.43","-1.76"
"140","2011/08","-5.48","-5.99","-3.2","-2.48","3.2","-0.24"
"141","2011/09","1.72","-7.59","-3.78","-1.41","1.85","0.28"
"142","2011/10","5.58","11.35","3.57","-0.18","-1.87","-0.88"
"143","2011/11","1.83","-0.28","-0.26","-0.34","1.79","1.53"
"144","2011/12","-2.19","0.74","-0.44","1.77","0.8","2.4"
"145","2012/01","4.74","5.05","2.16","-1.13","-1.81","-1.4"
"146","2012/02","2.14","4.42","-1.63","0.08","-0.19","-0.1"
"147","2012/03","6.06","3.11","-0.45","0.92","-0.33","0.82"
"148","2012/04","-0.75","-0.85","-0.59","-0.48","1.12","0.67"
"149","2012/05","-6.86","-6.19","-0.09","-0.59","2.28","2.39"
"150","2012/06","1.39","3.89","0.95","0.44","-1.24","0.34"
"151","2012/07","0.2","0.79","-2.68","-0.27","1.11","0.13"
"152","2012/08","-0.59","2.55","0.44","1.31","-1.26","-0.73"
"153","2012/09","6.46","2.73","0.66","1.53","-1.38","1.59"
"154","2012/10","-6.24","-1.76","-0.81","3.79","-1.39","2.28"
"155","2012/11","-2.3","0.78","0.36","-0.97","0.68","0.91"
"156","2012/12","0.77","1.18","1.87","3.58","-1.98","0.86"
"157","2013/01","6.01","5.57","0.56","0.95","-1.64","1.47"
"158","2013/02","-1.1","1.29","-0.38","0.03","-0.69","0.48"
"159","2013/03","6.21","4.03","0.83","-0.3","0.17","1.31"
"160","2013/04","-5.04","1.55","-2.3","0.62","0.07","0.47"
"161","2013/05","2.71","2.8","2.06","2.6","-1.66","-0.78"
"162","2013/06","-8.13","-1.2","1.35","-0.17","-0.44","-0.01"
"163","2013/07","2.06","5.65","1.8","0.56","-1.46","0.56"
"164","2013/08","-6.55","-2.71","-0.01","-2.78","0.62","-2.16"
"165","2013/09","1.6","3.77","2.67","-1.19","-0.73","-1.32"
"166","2013/10","-3.22","4.18","-1.53","1.14","2.7","0.87"
"167","2013/11","0.26","3.12","1.33","0.24","0.14","0.05"
"168","2013/12","4.39","2.81","-0.53","-0.31","-0.52","0.07"
"169","2014/01","-5.81","-3.32","0.57","-2.09","-3.99","-1.4"
"170","2014/02","4.81","4.65","0.15","-0.4","-0.26","-0.41"
"171","2014/03","3.95","0.43","-1.17","5.09","2.16","1.9"
"172","2014/04","2.07","-0.19","-4.15","1.14","3.48","1.07"
"173","2014/05","-6.16","2.06","-1.89","-0.27","0.1","-1.08"
"174","2014/06","-1.68","2.61","3.1","-0.74","-1.97","-1.91"
"175","2014/07","5.74","-2.04","-4.25","0.01","0.94","0.47"
"176","2014/08","0.33","4.24","0.29","-0.59","-0.63","-0.7"
"177","2014/09","-1.28","-1.97","-3.79","-1.23","1.13","-0.51"
"178","2014/10","-13.4","2.52","3.78","-1.7","-0.47","-0.16"
"179","2014/11","-1.36","2.55","-2.31","-3","1.4","0.18"
"180","2014/12","-1.07","-0.06","2.88","2.07","-1.16","0.88"
"181","2015/01","-4.44","-3.11","-0.87","-3.48","1.67","-1.67"
"182","2015/02","5.63","6.13","0.2","-1.79","-1.07","-1.76"
"183","2015/03","-0.89","-1.12","3.04","-0.45","0.1","-0.51"
"184","2015/04","6.72","0.59","-3.03","1.85","-0.15","-0.49"
"185","2015/05","-0.96","1.36","0.76","-1.37","-1.72","-0.75"
"186","2015/06","-4.12","-1.53","2.87","-0.79","0.5","-1.47"
"187","2015/07","-0.41","1.54","-4.55","-4.12","0.04","-2.56"
"188","2015/08","-8.7","-6.04","0.4","2.66","0.76","1.25"
"189","2015/09","-1.97","-3.08","-2.78","0.53","1.81","-0.51"
"190","2015/10","-3.37","7.75","-2.16","-0.07","0.82","0.43"
"191","2015/11","-0.47","0.56","3.34","-0.5","-2.57","-1.1"
"192","2015/12","-1.3","-2.17","-2.99","-2.6","0.31","0.13"
"193","2016/01","-9.33","-5.77","-3.42","2.07","2.6","3.01"
"194","2016/02","4.98","-0.07","0.95","-0.49","3.28","2.05"
"195","2016/03","15.56","6.96","1.1","1.16","0.81","-0.03"
"196","2016/04","-3.65","0.92","1.16","3.28","-2.88","1.98"
"197","2016/05","5.33","1.78","-0.71","-1.81","-1.01","-2.55"
"198","2016/06","-1.29","-0.05","0.49","-1.47","1.19","1.92"
"199","2016/07","5.8","3.95","2.64","-1.11","1.33","-1.24"
"200","2016/08","-1.1","0.5","1.72","3.34","-1.33","-0.39"
"201","2016/09","-0.04","0.25","1.74","-1.49","-2.29","-0.09"
"202","2016/10","-3.27","-2.02","-4.01","4.16","1.19","0.24"
"203","2016/11","5.54","4.86","6.81","8.29","-0.1","3.7"
"204","2016/12","2.29","1.82","0.41","3.58","0.99","-0.3"
"205","2017/01","5.1","1.94","-1.28","-2.78","-0.01","-0.95"
"206","2017/02","3","3.57","-2.12","-1.79","0.78","-1.72"
"207","2017/03","-3.19","0.17","0.78","-3.17","0.68","-1"
"208","2017/04","-8","1.09","0.49","-1.87","2","-1.55"
"209","2017/05","-4.84","1.06","-3.05","-3.78","1.21","-1.88"
"210","2017/06","0.73","0.78","2.48","1.35","-2.01","-0.07"
